,Time,Density,gasTemp,av,zeta,radfield,shockVel,CH3OH,runName,N_CH3OH,Time_log,Density_log,gasTemp_log,av_log,zeta_log,radfield_log,shockVel_log,CH3OH_log,cosmicRay,interstellarRad,iDens,shockVel_str,normalizedTime,normalizedTime_log
5145,88110.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,3.86359e-08,1000.0_1000.0_10000.0_40.0.dat,5155574496000000.0,4.945025201242463,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-7.413008966672966,1000.0,1000.0,10000.0,40.0,0.08391428571428572,-1.0761640978274754
5146,96920.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,5.27889e-08,1000.0_1000.0_10000.0_40.0.dat,7044150816000000.0,4.986413405465469,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-7.2774573876089566,1000.0,1000.0,10000.0,40.0,0.0923047619047619,-1.0347758936044695
5147,106600.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,8.10109e-08,1000.0_1000.0_10000.0_40.0.dat,1.0810094496000002e+16,5.027757204690554,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-7.091456542956265,1000.0,1000.0,10000.0,40.0,0.10152380952380953,-0.9934320943793846
5148,117300.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.34793e-07,1000.0_1000.0_10000.0_40.0.dat,1.7986777920000002e+16,5.069298012115529,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.870332660770353,1000.0,1000.0,10000.0,40.0,0.11171428571428571,-0.9518912869544088
5149,129000.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.61085e-07,1000.0_1000.0_10000.0_40.0.dat,2.14951824e+16,5.110589710299249,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.792944898566043,1000.0,1000.0,10000.0,40.0,0.12285714285714286,-0.9105995887706891
5150,141900.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.63228e-07,1000.0_1000.0_10000.0_40.0.dat,2.1781144320000004e+16,5.151982395457474,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.7872053406651585,1000.0,1000.0,10000.0,40.0,0.13514285714285715,-0.8692069036124641
5151,156100.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.63202e-07,1000.0_1000.0_10000.0_40.0.dat,2.177767488e+16,5.193402903062418,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.787274523378471,1000.0,1000.0,10000.0,40.0,0.14866666666666667,-0.8277863960075206
5152,171700.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.63094e-07,1000.0_1000.0_10000.0_40.0.dat,2.176326336e+16,5.234770295160916,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.787562015752012,1000.0,1000.0,10000.0,40.0,0.16352380952380952,-0.7864190039090215
5153,188900.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.62997e-07,1000.0_1000.0_10000.0_40.0.dat,2.175031968e+16,5.2762319579218335,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.787820388819574,1000.0,1000.0,10000.0,40.0,0.1799047619047619,-0.7449573411481045
5154,207800.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.62908e-07,1000.0_1000.0_10000.0_40.0.dat,2.173844352e+16,5.3176455432211585,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.788057588063833,1000.0,1000.0,10000.0,40.0,0.19790476190476192,-0.7035437558487795
5155,228500.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.62825e-07,1000.0_1000.0_10000.0_40.0.dat,2.1727368000000004e+16,5.358886204405869,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.78827891315388,1000.0,1000.0,10000.0,40.0,0.21761904761904763,-0.662303094664069
5156,251400.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.62749e-07,1000.0_1000.0_10000.0_40.0.dat,2.171722656e+16,5.400365273349939,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.788481671244048,1000.0,1000.0,10000.0,40.0,0.23942857142857144,-0.6208240257199991
5157,276500.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.62681e-07,1000.0_1000.0_10000.0_40.0.dat,2.1708152640000004e+16,5.4416951356407175,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.78866316665135,1000.0,1000.0,10000.0,40.0,0.2633333333333333,-0.579494163429221
5158,304200.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.62621e-07,1000.0_1000.0_10000.0_40.0.dat,2.1700146240000004e+16,5.4831592097169795,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.788823372670432,1000.0,1000.0,10000.0,40.0,0.2897142857142857,-0.5380300893529585
5159,334600.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.62569e-07,1000.0_1000.0_10000.0_40.0.dat,2.169320736e+16,5.524525936626375,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.78896226570682,1000.0,1000.0,10000.0,40.0,0.31866666666666665,-0.49666336244356235
5160,368000.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.62525e-07,1000.0_1000.0_10000.0_40.0.dat,2.1687336000000004e+16,5.565847818673518,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.789079825288482,1000.0,1000.0,10000.0,40.0,0.3504761904761905,-0.4553414803964204
5161,404800.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.62487e-07,1000.0_1000.0_10000.0_40.0.dat,2.168226528e+16,5.6072405038317426,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.789181379633476,1000.0,1000.0,10000.0,40.0,0.38552380952380955,-0.41394879523819533
5162,445300.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.62456e-07,1000.0_1000.0_10000.0_40.0.dat,2.1678128640000004e+16,5.648652695131223,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.789264244191135,1000.0,1000.0,10000.0,40.0,0.4240952380952381,-0.3725366039387151
5163,489900.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.62431e-07,1000.0_1000.0_10000.0_40.0.dat,2.1674792640000004e+16,5.69010743945633,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.7893310819659245,1000.0,1000.0,10000.0,40.0,0.4665714285714286,-0.3310818596136075
5164,538900.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.62411e-07,1000.0_1000.0_10000.0_40.0.dat,2.1672123840000004e+16,5.731508183596025,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.789384559592889,1000.0,1000.0,10000.0,40.0,0.5132380952380953,-0.2896811154739126
5165,592700.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.62395e-07,1000.0_1000.0_10000.0_40.0.dat,2.16699888e+16,5.7728349272390185,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.789427346436211,1000.0,1000.0,10000.0,40.0,0.5644761904761905,-0.2483543718309199
5166,652000.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.62383e-07,1000.0_1000.0_10000.0_40.0.dat,2.1668387520000004e+16,5.814247595731921,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.789459439335269,1000.0,1000.0,10000.0,40.0,0.6209523809523809,-0.20694170333801787
